iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Feb 28, 2017"
Total Net Assets,"97,843,780,499.36"
Shares Outstanding,"411,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SLB","SCHLUMBERGER NV","Equity","0.55","80.36","6,674,044.00","536,326,175.84","536,326,175.84","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.54","80.91","6,589,016.00","533,117,284.56","533,117,284.56","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.52","70.93","7,225,595.00","512,511,453.35","512,511,453.35","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.52","127.65","3,985,219.00","508,713,205.35","508,713,205.35","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.52","110.46","4,567,803.00","504,559,519.38","504,559,519.38","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.51","180.23","2,755,167.00","496,563,748.41","496,563,748.41","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.49","61.84","7,799,172.00","482,300,796.48","482,300,796.48","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.47","123.51","3,721,628.00","459,658,274.28","459,658,274.28","Health Care","2182348","US1510201049","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.47","124.50","3,658,988.00","455,544,006.00","455,544,006.00","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.46","56.71","8,022,271.00","454,942,988.41","454,942,988.41","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.46","70.48","6,324,480.00","445,749,350.40","445,749,350.40","Health Care","2369174","US3755581036","NASDAQ"
"AGN","ALLERGAN","Equity","0.45","244.82","1,801,348.00","441,006,017.36","441,006,017.36","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.45","248.06","1,775,487.00","440,427,305.22","440,427,305.22","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.44","107.94","3,957,638.00","427,187,445.72","427,187,445.72","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.43","55.00","7,673,317.00","422,032,435.00","422,032,435.00","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.42","112.55","3,677,674.00","413,922,208.70","413,922,208.70","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.42","80.58","5,121,442.00","412,685,796.36","412,685,796.36","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"PCLN","PRICELINE GROUP INC/THE","Equity","0.42","1,724.13","236,678.00","408,063,640.14","408,063,640.14","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"AVGO","BROADCOM LTD","Equity","0.41","210.93","1,905,694.00","401,968,035.42","401,968,035.42","Information Technology","BD9WQP4","SG9999014823","NASDAQ"
"QCOM","QUALCOMM INC","Equity","0.41","56.48","7,091,200.00","400,510,976.00","400,510,976.00","Information Technology","2714923","US7475251036","NASDAQ"
"SBUX","STARBUCKS CORP","Equity","0.41","56.87","6,991,058.00","397,581,468.46","397,581,468.46","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"LLY","ELI LILLY","Equity","0.39","82.81","4,659,423.00","385,846,818.63","385,846,818.63","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.38","45.08","8,258,423.00","372,289,708.84","372,289,708.84","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.38","177.18","2,096,566.00","371,469,563.88","371,469,563.88","Consumer Staples","2701271","US22160K1051","NASDAQ"
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.38","76.62","4,803,065.00","368,010,840.30","368,010,840.30","Information Technology","2885409","US8825081040","NASDAQ"
"NKE","NIKE INC CLASS B","Equity","0.37","57.16","6,408,653.00","366,318,605.48","366,318,605.48","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","0.37","122.50","2,975,161.00","364,457,222.50","364,457,222.50","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.37","98.21","3,705,851.00","363,951,626.71","363,951,626.71","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE","Equity","0.36","86.38","4,104,584.00","354,553,965.92","354,553,965.92","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.36","105.76","3,312,686.00","350,349,671.36","350,349,671.36","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.34","323.06","1,038,539.00","335,510,409.34","335,510,409.34","Consumer Discretionary","BZ6VT82","US16119P1084","NASDAQ"
"DOW","DOW CHEMICAL","Equity","0.34","62.26","5,375,827.00","334,698,989.02","334,698,989.02","Materials","2278719","US2605431038","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.33","78.54","4,169,569.00","327,477,949.26","327,477,949.26","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.33","43.92","7,407,380.00","325,332,129.60","325,332,129.60","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"LMT","LOCKHEED MARTIN CORP","Equity","0.33","266.58","1,208,455.00","322,149,933.90","322,149,933.90","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.32","45.67","6,916,522.00","315,877,559.74","315,877,559.74","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.32","72.98","4,263,107.00","311,121,548.86","311,121,548.86","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.32","74.37","4,169,635.00","310,095,754.95","310,095,754.95","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.32","138.17","2,231,866.00","308,376,925.22","308,376,925.22","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.31","288.60","1,043,531.00","301,163,046.60","301,163,046.60","Health Care","2455965","US09062X1037","NASDAQ"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.31","63.92","4,680,064.00","299,149,690.88","299,149,690.88","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.31","157.68","1,894,637.00","298,746,362.16","298,746,362.16","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.30","127.23","2,333,387.00","296,876,828.01","296,876,828.01","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.30","80.06","3,687,416.00","295,214,524.96","295,214,524.96","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.30","131.00","2,241,319.00","293,612,789.00","293,612,789.00","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.30","142.13","2,058,297.00","292,545,752.61","292,545,752.61","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.29","47.57","5,943,557.00","282,735,006.49","282,735,006.49","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.29","118.34","2,385,030.00","282,244,450.20","282,244,450.20","Information Technology","2008154","US00724F1012","NASDAQ"
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.28","184.40","1,507,437.00","277,971,382.80","277,971,382.80","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.28","52.44","5,272,410.00","276,485,180.40","276,485,180.40","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.28","82.55","3,305,474.00","272,866,878.70","272,866,878.70","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.28","96.66","2,806,718.00","271,297,361.88","271,297,361.88","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.27","96.99","2,765,604.00","268,235,931.96","268,235,931.96","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.27","101.48","2,585,321.00","262,358,375.08","262,358,375.08","Information Technology","2379504","US67066G1040","NASDAQ"
"KHC","KRAFT HEINZ","Equity","0.27","91.51","2,861,742.00","261,878,010.42","261,878,010.42","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"GD","GENERAL DYNAMICS CORP","Equity","0.27","189.81","1,373,430.00","260,690,748.30","260,690,748.30","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.26","85.55","2,921,267.00","249,914,391.85","249,914,391.85","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.25","81.35","3,063,341.00","249,202,790.35","249,202,790.35","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.25","78.45","3,128,409.00","245,423,686.05","245,423,686.05","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.25","36.84","6,656,685.00","245,232,275.40","245,232,275.40","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"RAI","REYNOLDS AMERICAN INC","Equity","0.25","61.57","3,969,127.00","244,379,149.39","244,379,149.39","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.25","65.55","3,667,793.00","240,423,831.15","240,423,831.15","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.24","113.83","2,102,489.00","239,326,322.87","239,326,322.87","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.24","47.14","5,075,035.00","239,237,149.90","239,237,149.90","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.24","50.82","4,704,613.00","239,088,432.66","239,088,432.66","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.24","12.53","18,733,601.00","234,732,020.53","234,732,020.53","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.24","114.79","2,043,621.00","234,587,254.59","234,587,254.59","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.24","40.41","5,790,134.00","233,979,314.94","233,979,314.94","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.24","77.64","3,008,930.00","233,613,325.20","233,613,325.20","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.23","110.54","2,064,348.00","228,193,027.92","228,193,027.92","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.23","132.55","1,719,270.00","227,889,238.50","227,889,238.50","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.23","192.98","1,173,781.00","226,516,257.38","226,516,257.38","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.23","42.00","5,387,257.00","226,264,794.00","226,264,794.00","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"BLK","BLACKROCK INC.","Equity","0.23","387.46","581,072.00","225,142,157.12","225,142,157.12","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.23","102.62","2,166,403.00","222,316,275.86","222,316,275.86","Information Technology","2065308","US0530151036","NASDAQ"
"HAL","HALLIBURTON","Equity","0.23","53.46","4,150,619.00","221,892,091.74","221,892,091.74","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"CSX","CSX CORP","Equity","0.22","48.56","4,497,870.00","218,416,567.20","218,416,567.20","Industrials","2160753","US1264081035","NASDAQ"
"RTN","RAYTHEON","Equity","0.22","154.15","1,410,070.00","217,362,290.50","217,362,290.50","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.22","93.86","2,315,734.00","217,354,793.24","217,354,793.24","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.22","128.76","1,677,276.00","215,966,057.76","215,966,057.76","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING CO","Equity","0.21","70.65","2,960,842.00","209,183,487.30","209,183,487.30","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"NOC","NORTHROP GRUMMAN CORP","Equity","0.21","247.09","846,171.00","209,080,392.39","209,080,392.39","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.21","164.82","1,264,460.00","208,408,297.20","208,408,297.20","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"ITW","ILLINOIS TOOL INC","Equity","0.20","132.01","1,516,505.00","200,193,825.05","200,193,825.05","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.20","121.46","1,629,497.00","197,918,705.62","197,918,705.62","Financials","2965839","US12572Q1058","NASDAQ"
"KMI","KINDER MORGAN INC","Equity","0.20","21.31","9,222,622.00","196,534,074.82","196,534,074.82","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"YHOO","YAHOO! INC","Equity","0.20","45.66","4,213,194.00","192,374,438.04","192,374,438.04","Information Technology","2986539","US9843321061","NASDAQ"
"SYK","STRYKER CORP","Equity","0.20","128.56","1,493,388.00","191,989,961.28","191,989,961.28","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.19","41.94","4,491,867.00","188,388,901.98","188,388,901.98","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.19","36.22","5,193,601.00","188,112,228.22","188,112,228.22","Information Technology","2046552","US0382221051","NASDAQ"
"BBT","BB AND T CORP","Equity","0.19","48.22","3,899,083.00","188,013,782.26","188,013,782.26","Financials","2830904","US0549371070","New York Stock Exchange Inc."
