iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"126,492,385,434.10"
Shares Outstanding,"500,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MA","MASTERCARD INC CLASS A","Equity","0.61","141.20","5,479,718.00","773,736,181.60","773,736,181.60","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.59","156.68","4,753,404.00","744,763,338.72","744,763,338.72","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.58","145.08","5,086,175.00","737,902,269.00","737,902,269.00","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MMM","3M","Equity","0.58","209.90","3,502,070.00","735,084,493.00","735,084,493.00","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.56","63.42","11,258,917.00","714,040,516.14","714,040,516.14","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.53","78.14","8,589,740.00","671,202,283.60","671,202,283.60","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.53","145.82","4,591,177.00","669,485,430.14","669,485,430.14","Health Care","2182348","US1510201049","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.50","141.74","4,473,704.00","634,102,804.96","634,102,804.96","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.50","178.77","3,521,041.00","629,456,499.57","629,456,499.57","Information Technology","2379504","US67066G1040","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.49","81.02","7,663,713.00","620,914,027.26","620,914,027.26","Health Care","2369174","US3755581036","NASDAQ"
"MDT","MEDTRONIC PLC","Equity","0.49","77.77","7,949,261.00","618,214,027.97","618,214,027.97","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.48","63.74","9,623,726.00","613,416,295.24","613,416,295.24","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"AVGO","BROADCOM LTD","Equity","0.46","242.54","2,386,064.00","578,715,962.56","578,715,962.56","Information Technology","BD9WQP4","SG9999014823","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.45","69.76","8,154,035.00","568,825,481.60","568,825,481.60","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.43","115.97","4,696,972.00","544,707,842.84","544,707,842.84","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.43","53.36","10,195,995.00","544,058,293.20","544,058,293.20","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"PCLN","THE PRICELINE GROUP INC","Equity","0.42","1,830.82","287,919.00","527,127,863.58","527,127,863.58","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"TXN","TEXAS INSTRUMENT INC","Equity","0.41","89.64","5,809,938.00","520,802,842.32","520,802,842.32","Information Technology","2885409","US8825081040","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.40","116.08","4,359,361.00","506,034,624.88","506,034,624.88","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.39","237.19","2,111,385.00","500,799,408.15","500,799,408.15","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.39","53.59","9,325,623.00","499,760,136.57","499,760,136.57","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.39","135.07","3,626,565.00","489,840,134.55","489,840,134.55","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.38","85.54","5,685,746.00","486,358,712.84","486,358,712.84","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.38","120.09","4,041,987.00","485,402,218.83","485,402,218.83","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.38","81.32","5,965,570.00","485,120,152.40","485,120,152.40","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.37","102.45","4,564,454.00","467,628,312.30","467,628,312.30","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.36","181.35","2,533,640.00","459,475,614.00","459,475,614.00","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"LMT","LOCKHEED MARTIN CORP","Equity","0.36","310.29","1,470,377.00","456,243,279.33","456,243,279.33","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.36","53.71","8,473,257.00","455,098,633.47","455,098,633.47","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"QCOM","QUALCOMM INC","Equity","0.35","51.84","8,670,174.00","449,461,820.16","449,461,820.16","Information Technology","2714923","US7475251036","NASDAQ"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.35","189.20","2,348,571.00","444,349,633.20","444,349,633.20","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.34","124.71","3,468,095.00","432,506,127.45","432,506,127.45","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.34","149.18","2,894,677.00","431,827,914.86","431,827,914.86","Information Technology","2008154","US00724F1012","NASDAQ"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.34","363.42","1,180,454.00","429,000,592.68","429,000,592.68","Consumer Discretionary","BZ6VT82","US16119P1084","NASDAQ"
"PYPL","PAYPAL HOLDINGS INC","Equity","0.33","64.03","6,632,774.00","424,696,519.22","424,696,519.22","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"COST","COSTCO WHOLESALE CORP","Equity","0.33","164.29","2,573,797.00","422,849,109.13","422,849,109.13","Consumer Staples","2701271","US22160K1051","NASDAQ"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.33","77.22","5,400,565.00","417,031,629.30","417,031,629.30","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"NEE","NEXTERA ENERGY INC","Equity","0.32","146.55","2,747,382.00","402,628,832.10","402,628,832.10","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.32","204.95","1,961,881.00","402,087,510.95","402,087,510.95","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.31","51.85","7,710,741.00","399,801,920.85","399,801,920.85","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.31","48.17","8,298,890.00","399,757,531.30","399,757,531.30","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.31","79.94","4,954,273.00","396,044,583.62","396,044,583.62","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.31","90.46","4,305,656.00","389,489,641.76","389,489,641.76","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.31","142.55","2,730,977.00","389,300,771.35","389,300,771.35","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"BIIB","BIOGEN INC INC","Equity","0.31","313.12","1,240,795.00","388,517,730.40","388,517,730.40","Health Care","2455965","US09062X1037","NASDAQ"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.30","134.77","2,812,154.00","378,993,994.58","378,993,994.58","Financials","2692665","US6934751057","New York Stock Exchange Inc."
