,Marzo_2017,Abril_2017,Mayo_2017,Junio_2017,Julio_2017,Agosto_2017,Septiembre_2017,Octubre_2017,Noviembre_2017,Diciembre_2017,Enero_2018,Febrero_2018
0,234.45640972558218,231.62118413582024,234.44959698121428,247.8553263446934,238.79719042461633,244.9689236493342,239.26147342887975,252.4130465856521,262.2913525045058,282.2997285063597,280.80283826651873,563.8840732659176
1,237.56794220985017,231.9158718841214,234.9087423149894,247.6872082226131,236.69220018802926,244.73885297260023,239.4965481227183,253.47487126748956,262.7291036442038,280.05250092276765,279.2655023845808,560.5490370902411
2,236.17604970145786,232.6137176296297,235.05509129093667,249.33316189796622,237.00442150667052,245.3332938702758,240.63477196022492,254.4094250931562,259.45673865797954,282.47434781503006,281.3711881110304,560.8180211815131
3,236.346851618442,232.18254271335095,234.95115551772625,250.60688057497674,237.30229163722368,245.52998271494099,241.9628935205401,254.97305569159525,259.6242417499967,281.4695677945035,283.4133371246619,560.4606608338921
4,235.55351243511112,231.73373547831937,235.0894994632629,250.4457219715418,237.9167363316545,244.9622538495966,242.44264009234186,255.2756385628125,260.815181798521,279.8832888009323,284.50615894227053,554.5506696657541
5,235.08232628149148,231.83217770298117,235.96489095497364,249.85744526213762,235.87285019408895,245.35322403354772,240.7470077199609,256.70953398785633,261.3448291441458,278.9667699948756,286.4383104752185,543.2392294705606
6,234.65661949972255,231.16897652050568,236.04921078917326,250.45579528078017,237.39962495830542,246.00818514102883,241.51186426651768,256.62522154793993,261.4800871894956,279.15646966463794,287.24987192168396,548.1373343014873
7,234.890008967707,231.57756621221225,235.94432605462782,251.0062656517172,237.7606582193803,245.48394564618465,241.606170726692,256.3953497092122,261.93348561092563,280.2651990511034,287.1256083197168,546.7265434154751
8,235.808195514105,231.4378719492023,236.4765480474787,249.22306073209424,237.6811787031331,245.45307102829167,241.15292845224283,257.06784906286305,260.72724470107624,281.4898160139576,286.2630658917283,536.5923785309171
9,235.92417927723233,231.48018138954484,236.13610398018722,248.90883546648308,239.46114457425662,241.88527261165174,243.65160420119182,257.6233958703758,260.76175782970324,282.51724287071903,288.3334422755999,540.7541408691696
10,235.15081448816073,231.0957609018068,235.89702702956538,250.1918453240497,239.91156452930403,242.23190683500175,244.43832029633748,257.1789118815532,260.9956179080574,282.4654731632194,290.1114214343076,544.3674243040283
11,236.9477068230037,230.12874419134513,237.13409755949905,249.608639765074,241.04947703203163,244.8347669298019,244.60234499562173,257.49564244213184,260.5455017333351,282.4367499666273,289.3914439786211,545.092244942134
12,236.69693706032353,228.7984162343404,237.21938291981937,249.06870562871222,241.01745299552894,244.81440972928073,244.46020837038583,258.0550618029707,259.08145145654913,281.4992297594814,292.85281359327337,548.9541372356555
13,236.46859139854698,230.55567944210742,232.83933000480965,248.98955604605808,241.20045326004106,245.17024806855025,244.92897530548413,258.16874040367446,261.3571381677873,284.5042418707824,292.5716865095651,552.2478152389987
14,236.1012294425104,230.00122047432208,233.82316237871905,251.4471074667693,242.4809387067502,241.33420222061287,245.30633896206362,258.431435063038,260.52783341153,286.98273541606017,293.79442519346065,552.2636380734438
15,233.16941486036887,229.77964550964498,235.35942914203508,249.48537643611454,242.41403657563066,240.99945551488614,245.5566973626315,258.46119486425243,261.0500076898029,286.1528148974239,296.2732793019672,550.9994558320884
16,233.6630078868773,231.49305800745506,236.62800254532394,249.71632141968598,242.33692262243628,241.11382392683453,245.63249620851806,259.7012890796338,262.6383389279723,286.2902107222482,297.26506344268745,549.5931179515584
17,233.3410915222235,230.85050118727378,236.98409605770465,249.56898987370198,242.08612510839185,243.55750842650642,244.9258526691157,258.8895797736517,262.4116894764316,286.1911186297259,296.0779945673152,549.7789180629925
18,233.30551381866718,233.28505389940756,237.6290159518961,249.9491338394226,242.6743537755749,242.84582388860642,245.13297912812837,259.46092785794417,263.07755500485234,286.0204175059318,295.60422433459354,554.2532620229098
19,233.10333636571926,234.7248565015773,238.72382813926936,249.7251184190597,242.8229882074129,242.36418183940765,244.478616935378,258.12708642122794,262.84196392608584,285.3687494340013,300.3964917221792,557.626940173553
20,234.68501967644914,234.5531872614603,238.88512041703714,247.13379330901103,242.47195104865668,242.60480919091617,244.5529004589076,258.43633825470533,265.1001098293971,285.7045813764414,298.6318179030358,554.400674729484
21,234.9826831040879,234.86571141435118,,249.62956009522821,242.14853723751332,242.7844984992333,245.61550386314966,261.1523878181067,264.1411937956645,286.21244857403616,,551.3203418368536
22,,234.27679711117221,,247.03604177652673,,243.03791352409786,245.97051941274452,,,284.6144861340723,,
23,,,,,,,246.89456187282045,,,,,
