iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"101,821,854,272.44"
Shares Outstanding,"429,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MDT","MEDTRONIC PLC","Equity","0.54","80.56","6,858,634.00","552,531,555.04","552,531,555.04","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.54","78.10","6,985,080.00","545,534,748.00","545,534,748.00","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.53","72.08","7,544,948.00","543,839,851.84","543,839,851.84","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.52","129.61","4,103,465.00","531,850,098.65","531,850,098.65","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.52","112.47","4,720,552.00","530,920,483.44","530,920,483.44","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.51","65.16","7,986,135.00","520,376,556.60","520,376,556.60","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.50","176.86","2,853,926.00","504,745,352.36","504,745,352.36","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.48","124.43","3,897,903.00","485,016,070.29","485,016,070.29","Health Care","2182348","US1510201049","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.47","124.87","3,813,862.00","476,236,947.94","476,236,947.94","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.45","54.38","8,380,928.00","455,754,864.64","455,754,864.64","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
