iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,31-Jan-18,,,,,,,,,,
Total Net Assets,"156,026,902,856.81",,,,,,,,,,
Shares Outstanding,"549,650,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.69,107.23,"10,073,101.00","1,080,138,620.23","1,080,138,620.23",Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.68,108.67,"9,795,358.00","1,064,461,553.86","1,064,461,553.86",Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.67,59.25,"17,739,227.00","1,051,049,199.75","1,051,049,199.75",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.65,51.59,"19,759,380.00","1,019,386,414.20","1,019,386,414.20",Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.65,169,"6,023,660.00","1,017,998,540.00","1,017,998,540.00",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,0.65,106.6,"9,492,976.00","1,011,951,241.60","1,011,951,241.60",Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
MMM,3M,Equity,0.62,250.5,"3,870,185.00","969,481,342.50","969,481,342.50",Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,0.62,245.8,"3,930,423.00","966,097,973.40","966,097,973.40",Information Technology,2379504,US67066G1040,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.58,163.7,"5,584,223.00","914,137,305.10","914,137,305.10",Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,0.58,16.17,"56,243,711.00","909,460,806.87","909,460,806.87",Industrials,2380498,US3696041033,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.56,171.14,"5,170,216.00","884,830,766.24","884,830,766.24",Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.56,186.05,"4,707,872.00","875,899,585.60","875,899,585.60",Health Care,2023607,US0311621009,NASDAQ
MO,ALTRIA GROUP INC,Equity,0.56,70.34,"12,375,474.00","870,490,841.16","870,490,841.16",Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.5,159.67,"4,940,763.00","788,891,628.21","788,891,628.21",Industrials,2020459,US4385161066,New York Stock Exchange Inc.
NFLX,NETFLIX INC,Equity,0.48,270.3,"2,806,508.00","758,599,112.40","758,599,112.40",Consumer Discretionary,2857817,US64110L1061,NASDAQ
MDT,MEDTRONIC PLC,Equity,0.48,85.89,"8,779,020.00","754,030,027.80","754,030,027.80",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.45,83.8,"8,471,871.00","709,942,789.80","709,942,789.80",Health Care,2369174,US3755581036,NASDAQ
ABT,ABBOTT LABORATORIES,Equity,0.45,62.16,"11,288,786.00","701,710,937.76","701,710,937.76",Health Care,2002305,US0028241000,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,0.45,109.67,"6,392,024.00","701,013,272.08","701,013,272.08",Information Technology,2885409,US8825081040,NASDAQ
UNP,UNION PACIFIC CORP,Equity,0.43,133.5,"5,105,201.00","681,544,333.50","681,544,333.50",Industrials,2914734,US9078181081,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.42,138.01,"4,816,632.00","664,743,382.32","664,743,382.32",Industrials,2915500,US9130171096,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.42,62.6,"10,615,025.00","664,500,565.00","664,500,565.00",Health Care,2126335,US1101221083,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.42,73.58,"8,984,070.00","661,047,870.60","661,047,870.60",Energy,2779201,AN8068571086,New York Stock Exchange Inc.
AVGO,BROADCOM LTD,Equity,0.42,248.03,"2,637,111.00","654,082,641.33","654,082,641.33",Information Technology,BD9WQP4,SG9999014823,NASDAQ
QCOM,QUALCOMM INC,Equity,0.42,68.25,"9,560,996.00","652,537,977.00","652,537,977.00",Information Technology,2714923,US7475251036,NASDAQ
